lat,lng,pop
60.77,50.02,2
65.47,50.8,2
59.67,47.02,2
64.07,47.83,2
57.23,52.09,2
62.02,53.01,2
56.3,49.08,2
103.49,19.96,2
-31.89,-8.14,2
-32.91,-11.03,2
62.41,33.85,2
65.97,34.48,2
61.49,31.06,2
64.88,31.68,2
58.96,33.14,2
37.68,42.79,2
37.79,39.88,2
30.75,42.71,2
34.12,44.24,2
49.64,-20.14,2
52.51,-20.89,2
50.33,-22.98,2
48.98,-17.31,2
51.79,-18.07,2
105.87,41.58,2
103.33,39.53,2
-7.7,47.4,2
-6.0,44.69,2
-5.2,49.62,2
31.53,-11.3,2
29.47,-16.32,2
102.44,9.37,2
117.25,-12.22,2
119.94,-12.88,2
115.62,-14.1,2
118.25,-14.79,2
118.93,-10.25,2
114.63,-11.63,2
-1.94,16.4,2
0.78,15.7,2
-3.62,14.4,2
12.59,-11.89,2
9.98,-10.61,2
15.04,-10.16,2
10.16,-13.56,2
15.29,-13.18,2
106.43,51.84,2
110.31,50.87,2
103.32,49.88,2
105.54,54.65,2
109.79,53.62,2
28.35,35.02,2
31.74,33.71,2
25.36,33.18,2
24.85,36.24,2
130.57,39.74,2
131.97,42.14,2
32.42,-33.9,2
35.12,-32.1,2
32.96,-36.54,2
29.65,-35.6,2
35.69,-34.78,2
69.2,20.25,2
67.24,22.24,2
-80.15,32.55,2
-84.94,30.51,2
-86.44,33.12,2
44.46,45.48,2
40.93,49.93,2
111.44,-4.4,2
128.38,48.39,2
132.46,48.93,2
125.22,50.14,2
129.44,50.82,2
-8.61,3.9,2
-12.34,5.64,2
-10.87,3.58,2
-10.98,7.81,2
10.18,39.91,2
15.97,44.08,2
39.94,2.14,2
37.19,3.23,2
40.47,-0.72,2
2.59,10.41,2
0.85,8.64,2
-50.97,2.08,2
-46.0,0.26,2
-47.96,2.62,2
-50.13,-3.16,2
-52.05,-0.78,2
-47.09,-2.65,2
122.64,33.35,2
-62.09,7.59,2
-59.35,8.19,2
-63.1,4.9,2
-64.75,7.04,2
-60.39,5.47,2
33.5,-6.31,2
31.07,-8.23,2
53.42,54.0,2
48.49,49.77,2
52.71,51.0,2
44.91,54.35,2
44.74,51.4,2
-70.92,-40.86,2
-73.45,-38.92,2
-67.92,-40.09,2
-70.43,-38.25,2
-71.47,-43.53,2
-74.13,-41.58,2
-68.29,-42.71,2
115.73,18.17,2
112.8,18.67,2
117.5,20.34,2
-13.38,16.71,2
-12.01,14.39,2
-11.77,19.17,2
-10.41,16.77,2
-14.85,19.12,2
-15.0,9.75,2
-17.82,9.59,2
-16.34,7.47,2
-13.53,12.05,2
-70.22,-19.15,2
-68.38,-21.42,2
-73.33,-19.58,2
-71.46,-21.9,2
-67.2,-18.67,2
21.85,61.96,2
19.24,57.93,2
23.12,59.51,2
13.22,60.71,2
17.07,62.37,2
14.4,58.55,2
45.36,-0.03,2
42.67,1.05,2
47.41,1.69,2
45.93,-2.87,2
43.22,-1.81,2
48.0,-1.08,2
45.33,60.18,2
50.55,61.57,2
49.92,58.68,2
40.51,61.46,2
45.59,63.02,2
40.64,58.63,2
72.2,10.78,2
73.55,8.27,2
104.99,3.78,2
32.74,55.23,2
33.25,52.48,2
-102.48,35.75,2
-100.37,33.24,2
-97.09,38.49,2
-95.1,35.95,2
-100.87,38.4,2
13.72,28.16,2
17.03,27.22,2
11.25,26.04,2
14.49,25.15,2
16.31,30.26,2
10.4,29.01,2
-42.18,-12.74,2
-44.2,-10.37,2
-41.09,-9.85,2
-43.28,-15.58,2
-45.31,-13.24,2
-40.15,-15.07,2
-67.01,13.76,2
-65.37,11.63,2
-69.72,13.74,2
-77.77,8.82,2
-125.43,47.25,2
-128.25,48.82,2
-126.43,44.63,2
-129.16,46.25,2
41.56,-20.52,2
44.53,-21.39,2
39.13,-22.53,2
42.16,-23.43,2
40.97,-17.55,2
43.91,-18.49,2
38.56,-19.57,2
33.96,7.07,2
31.66,5.39,2
33.63,9.81,2
31.24,8.14,2
6.98,1.84,2
4.71,2.8,2
7.1,-0.87,2
4.81,0.16,2
9.34,0.83,2
122.41,-6.05,2
117.91,-7.59,2
120.65,-8.19,2
121.36,-3.28,2
116.9,-4.9,2
41.59,6.56,2
43.69,8.13,2
42.12,3.84,2
44.23,5.48,2
-99.92,27.94,2
-101.92,30.5,2
-96.48,28.1,2
-103.4,27.7,2
14.24,-32.45,2
11.29,-31.13,2
16.92,-30.91,2
13.95,-29.57,2
14.58,-35.36,2
11.52,-34.08,2
80.7,41.2,2
84.75,41.23,2
82.73,38.59,2
-79.96,47.16,2
-72.34,48.45,2
-76.79,49.31,2
55.04,29.59,2
58.2,30.35,2
54.5,26.93,2
57.51,27.66,2
55.64,32.35,2
35.53,-18.55,2
33.51,-23.51,2
36.07,-21.56,2
45.83,12.28,2
48.04,11.12,2
43.44,10.77,2
45.79,9.65,2
48.21,13.75,2
-82.91,-1.74,2
-85.99,-1.97,2
-84.25,-4.52,2
-81.59,0.99,2
-84.64,0.77,2
18.38,7.75,2
21.12,6.77,2
16.17,6.01,2
17.81,10.49,2
20.64,9.5,2
15.59,8.7,2
24.28,-20.07,2
21.29,-18.81,2
26.89,-18.22,2
23.89,-17.0,2
24.67,-23.1,2
21.64,-21.85,2
27.32,-21.28,2
-62.44,0.01,2
-64.12,2.24,2
-59.68,0.51,2
-61.41,2.74,2
-63.47,-2.7,2
-65.17,-0.35,2
117.88,12.73,2
118.57,17.67,2
116.81,15.44,2
130.78,35.15,2
125.7,33.3,2
129.3,37.38,2
124.57,35.34,2
-63.19,-15.44,2
-64.94,-13.16,2
-60.36,-15.07,2
-62.12,-12.73,2
-61.43,-17.67,2
6.1,32.65,2
9.49,31.96,2
-40.94,-1.6,2
-43.11,-7.46,2
-45.11,-5.05,2
-40.01,-6.92,2
-51.76,-21.79,2
-50.9,-26.52,2
-52.88,-24.32,2
27.34,-1.04,2
26.94,1.88,2
-97.42,43.42,2
-95.34,40.97,2
-101.42,43.35,2
-99.19,40.96,2
-95.51,45.86,2
-99.69,45.84,2
-69.64,-11.2,2
-71.43,-8.76,2
-66.71,-10.82,2
-68.47,-8.42,2
-70.84,-14.0,2
-72.66,-11.56,2
-67.84,-13.59,2
15.8,-19.23,2
13.02,-17.88,2
18.37,-17.52,2
15.54,-16.21,2
16.07,-22.22,2
13.24,-20.86,2
18.68,-20.56,2
-74.84,33.92,2
-74.1,31.54,2
-77.15,32.14,2
-72.3,35.65,2
-71.66,33.19,2
114.83,0.35,2
113.14,-2.03,2
115.88,-2.24,2
113.76,2.98,2
116.53,2.7,2
112.04,0.58,2
124.51,-11.5,2
127.4,-12.1,2
122.72,-13.53,2
125.56,-14.15,2
123.46,-8.79,2
126.34,-9.39,2
121.68,-10.88,2
99.85,32.71,2
101.87,34.82,2
101.28,30.23,2
-82.64,37.62,2
-77.55,41.63,2
52.96,34.29,2
56.29,35.18,2
54.08,40.08,2
